Date,Open,High,Low,Close,Volume,Ticker
2025-06-03,529.57,534.5,512,513.37,691487,NASDAQ:DUOL
2025-06-04,515,523.33,510.67,518.79,638143,NASDAQ:DUOL
2025-06-05,530.18,531.87,518,522.99,741296,NASDAQ:DUOL
2025-06-06,524.8,540.3,510.88,512.95,929674,NASDAQ:DUOL
2025-06-09,509.48,509.48,485.53,497.93,1007178,NASDAQ:DUOL
2025-06-10,499.6,503.49,475.41,486.02,1135257,NASDAQ:DUOL
2025-06-11,486.94,487.9,471.92,473.78,967211,NASDAQ:DUOL
2025-06-12,475.36,482.57,470.15,481.48,651453,NASDAQ:DUOL
2025-06-13,471.94,485,471.05,478.48,550602,NASDAQ:DUOL
2025-06-16,482.57,489,471.79,474.9,695160,NASDAQ:DUOL
2025-06-17,470.71,478.97,466,476.3,455199,NASDAQ:DUOL
2025-06-18,478.84,482.68,473.18,478.73,486642,NASDAQ:DUOL
2025-06-20,477.42,483.03,465.8,471.57,1337825,NASDAQ:DUOL
2025-06-23,470,472.12,446.75,448.54,1246653,NASDAQ:DUOL
2025-06-24,454.65,455.76,417.28,422.79,1559303,NASDAQ:DUOL
2025-06-25,435.04,437.4,396.51,397.68,1433496,NASDAQ:DUOL
2025-06-26,402,408.37,383.6,398.66,1379707,NASDAQ:DUOL
